;BOUWJAAR_PAND;VLOEROPPERVLAK_VERBLIJFSOBJECT;age;app_advance_payment_adjustment_last_year;app_check_advance_payment_last_year;app_determine_day_of_payment_last_year;app_mandate_no_last_year;app_mandate_yes_last_year;app_transaction_request_last_year;bought_toon;electricity_annual_consumption_estimated_offpeak;electricity_annual_consumption_estimated_peak;electricity_annual_consumption_estimated_total;electricity_last_contract_annual_consumption_estimated_offpeak;electricity_last_contract_annual_consumption_estimated_peak;electricity_last_contract_annual_consumption_estimated_total;electricity_last_contract_term;gas_annual_consumption_estimated;gas_last_contract_annual_consumption_estimated;has_active_boiler_rent_contract;has_active_electricity_contract;has_phone_number;province;web_os_other_last_year
32;1986;99;43;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1571;2445;4016;1571;2445;4016;INDEFINITE;1251;1251;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
33;1988;175;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2359;1499;3858;2359;1499;3858;4 YEARS;1539;1539;FALSE;TRUE;TRUE;LIMBURG;FALSE
34;1995;157;72;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2444;2754;5198;2444;2754;5198;1 YEAR;2033;2033;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
35;1993;73;63;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;882;871;1753;882;871;1753;INDEFINITE;158;158;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
36;1985;84;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2027;2339;4366;2027;2339;4366;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
37;2000;136;52;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1957;2274;4231;1957;2274;4231;3 YEARS;1335;1335;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
38;2018;132;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1734;1805;3539;1734;1805;3539;4 YEARS;1373;1373;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
39;1928;66;30;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;2808;2808;;2677;2677;4 YEARS;828;606;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
40;1980;120;86;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;864;821;1685;864;821;1685;INDEFINITE;1148;1148;FALSE;TRUE;TRUE;LIMBURG;FALSE
41;2007;127;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1638;2057;3695;1638;2057;3695;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
42;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;4501;12812;17313;144;174;318;INDEFINITE;2454;0;FALSE;TRUE;FALSE;;FALSE
43;1965;107;82;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1014;593;1607;1014;593;1607;INDEFINITE;21;21;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
44;1972;138;76;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;646;915;1561;646;915;1561;INDEFINITE;822;822;FALSE;TRUE;TRUE;UTRECHT;FALSE
45;1900;164;58;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;3135;1628;4749;3106;1628;4734;4 YEARS;563;561;FALSE;TRUE;TRUE;FRIESLAND;FALSE
46;1986;107;65;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;1532;1655;3187;1532;1655;3187;INDEFINITE;1135;1135;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
47;;;54;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;293;428;721;293;428;721;INDEFINITE;475;475;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
48;1937;90;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1631;1379;3010;1631;1379;3010;INDEFINITE;1295;1295;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
49;1969;54;68;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1223;1374;2207;833;1374;2207;3 YEARS;440;440;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
50;1975;52;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1401;583;1984;1401;583;1984;INDEFINITE;;1571;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
51;1962;68;44;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2238;2802;5040;2238;2802;5040;INDEFINITE;568;568;FALSE;TRUE;TRUE;UTRECHT;FALSE
52;1987;67;92;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;967;942;1909;967;942;1909;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
53;1998;128;51;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2229;2107;4336;2229;2107;4336;INDEFINITE;1543;1543;FALSE;TRUE;TRUE;LIMBURG;FALSE
54;1916;58;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;369;307;676;369;307;676;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
55;1986;114;33;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1021;787;1808;1021;787;1808;INDEFINITE;1461;1461;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
56;1972;119;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;728;524;1252;728;524;1252;INDEFINITE;1284;1284;FALSE;TRUE;TRUE;UTRECHT;FALSE
57;1927;104;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1853;2131;3984;1853;2131;3984;INDEFINITE;2269;2269;TRUE;TRUE;TRUE;ZUID-HOLLAND;FALSE
58;1962;114;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;1964;1964;FALSE;FALSE;TRUE;NOORD-BRABANT;FALSE
59;1930;128;52;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2621;2696;5074;1522;2696;4218;INDEFINITE;1742;1742;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
60;1981;97;36;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;4098;1815;5913;;;;FALSE;FALSE;TRUE;UTRECHT;FALSE
61;1989;57;49;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;370;418;788;370;418;788;INDEFINITE;354;354;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
62;1933;49;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2155;1386;3541;2155;1386;3541;INDEFINITE;1030;1030;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
63;1906;138;91;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;982;1321;2303;982;1321;2303;;2542;2542;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
64;1975;161;72;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;2394;FALSE;FALSE;TRUE;UTRECHT;FALSE
65;2014;247;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2524;2282;4806;2524;2282;4806;INDEFINITE;2303;2303;FALSE;TRUE;TRUE;LIMBURG;FALSE
66;1996;112;46;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;2195;1980;4175;;;;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
67;1939;92;45;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1009;838;1847;1009;838;1847;3 YEARS;145;145;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
68;1960;237;78;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;2015;2015;;9385;2939;FALSE;FALSE;TRUE;NOORD-HOLLAND;FALSE
69;1992;70;32;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1453;968;2421;1453;968;2421;1 YEAR;1221;1221;FALSE;TRUE;TRUE;NOORD-BRABANT;FALSE
70;1951;55;66;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;672;672;;672;672;INDEFINITE;1732;1732;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
71;1976;55;81;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;706;1492;1914;706;1208;1914;INDEFINITE;2468;44;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
72;1951;114;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1064;1296;2360;1064;1296;2360;3 YEARS;2236;2236;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
73;2005;120;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;931;1014;1945;931;1014;1945;INDEFINITE;;;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
74;1964;75;73;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2086;1388;3474;2086;1388;3474;INDEFINITE;1147;1147;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
75;1979;124;90;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;1249;1042;2291;INDEFINITE;;1607;FALSE;FALSE;TRUE;UTRECHT;FALSE
76;1928;115;69;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;636;1718;1718;636;801;1437;3 YEARS;1776;1507;FALSE;TRUE;TRUE;UTRECHT;FALSE
77;1980;121;53;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2321;2276;4597;2321;2276;4597;3 YEARS;2009;2009;FALSE;TRUE;TRUE;NOORD-BRABANT;FALSE
78;2005;105;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2518;2656;5174;2518;2656;5174;INDEFINITE;;2496;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
79;1720;373;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;4999;6376;11306;4930;6376;11306;INDEFINITE;3730;3651;FALSE;TRUE;TRUE;FRIESLAND;FALSE
80;1972;103;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;996;1244;2240;996;1244;2240;INDEFINITE;21;21;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
81;1970;119;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;718;902;1620;718;902;1620;3 YEARS;1690;1690;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
82;;;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;16172;13243;29415;16172;13243;29415;INDEFINITE;15555;15555;FALSE;TRUE;TRUE;;FALSE
83;;;56;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;0;63;63;0;57;57;INDEFINITE;;1624;FALSE;TRUE;TRUE;UTRECHT;FALSE
84;2005;132;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2037;2264;4301;2037;2264;4301;INDEFINITE;893;893;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
85;1962;81;39;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;916;1177;2093;916;1177;2093;INDEFINITE;1529;1529;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
86;1989;87;32;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1812;1343;3155;1696;1164;2860;3 YEARS;1113;1113;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
87;1970;77;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;218;677;895;218;677;895;INDEFINITE;762;762;FALSE;TRUE;TRUE;UTRECHT;FALSE
88;1972;111;91;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1425;614;2039;1425;614;2039;INDEFINITE;1192;1192;FALSE;TRUE;TRUE;GELDERLAND;FALSE
89;1972;113;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;774;1063;1837;666;916;1582;4 YEARS;1654;1654;FALSE;TRUE;TRUE;UTRECHT;FALSE
90;1976;112;50;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2305;2890;5195;2305;2890;5195;INDEFINITE;48;48;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
91;1955;61;60;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;380;325;705;380;325;705;INDEFINITE;570;570;FALSE;TRUE;TRUE;UTRECHT;FALSE
92;1965;108;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;686;1069;1755;686;1069;1755;INDEFINITE;1170;1170;FALSE;TRUE;TRUE;UTRECHT;FALSE
93;1986;97;84;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1160;1181;2341;1160;1181;2341;3 YEARS;1134;1134;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
94;1998;122;31;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1373;1639;3012;1373;1639;3012;INDEFINITE;913;913;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
95;1983;53;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;592;564;1156;592;564;1156;INDEFINITE;1405;1405;FALSE;TRUE;FALSE;LIMBURG;FALSE
96;1999;148;48;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1656;1991;3647;1656;1991;3647;INDEFINITE;1941;1941;FALSE;TRUE;TRUE;DRENTHE;FALSE
97;1972;87;81;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1785;1036;2821;1785;1036;2821;INDEFINITE;;1398;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
98;1965;119;68;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1902;1522;3424;1902;1522;3424;4 YEARS;2899;2899;FALSE;TRUE;TRUE;NOORD-HOLLAND;FALSE
99;1973;92;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;973;1137;2110;973;1137;2110;INDEFINITE;1780;1780;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
100;2007;81;68;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;744;688;1432;744;688;1432;INDEFINITE;97;97;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
101;1994;146;71;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;616;0;616;616;0;616;INDEFINITE;1669;1669;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
102;1994;107;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1463;1368;2831;1463;1368;2831;INDEFINITE;;;FALSE;TRUE;TRUE;UTRECHT;FALSE
103;1968;102;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;1363;1363;FALSE;FALSE;TRUE;NOORD-BRABANT;FALSE
104;1993;87;80;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1021;2200;3221;1021;2200;3221;3 YEARS;1048;1048;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
105;1999;107;54;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;823;762;1585;823;762;1585;INDEFINITE;1164;1164;FALSE;TRUE;TRUE;UTRECHT;FALSE
106;1994;90;67;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1312;1466;2778;1312;1466;2778;INDEFINITE;939;939;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
107;1993;114;54;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1559;719;2278;1559;719;2278;INDEFINITE;1162;1162;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
108;1961;150;55;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;FALSE;FALSE;TRUE;NOORD-HOLLAND;FALSE
109;1991;73;88;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;451;1586;FALSE;FALSE;TRUE;NOORD-HOLLAND;FALSE
110;1936;50;42;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1728;2595;4323;1728;2595;4323;INDEFINITE;125;125;FALSE;FALSE;TRUE;ZUID-HOLLAND;FALSE
111;1967;71;24;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1834;2121;3955;1834;2121;3955;3 YEARS;27;27;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
112;1963;69;46;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1133;854;1987;1133;854;1987;INDEFINITE;793;793;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
113;1937;55;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;849;889;1738;849;889;1738;INDEFINITE;822;822;TRUE;TRUE;TRUE;ZUID-HOLLAND;FALSE
114;1971;126;58;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;881;793;1674;881;793;1674;3 YEARS;1409;1409;FALSE;TRUE;TRUE;OVERIJSSEL;FALSE
115;2010;102;35;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2087;1648;3735;2087;1648;3735;INDEFINITE;814;814;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
116;1988;113;39;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1009;1681;2690;1009;1681;2690;INDEFINITE;1232;1232;FALSE;TRUE;TRUE;NOORD-BRABANT;FALSE
117;1926;162;68;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;4960;3198;8158;1748;2475;4223;INDEFINITE;2457;1113;FALSE;TRUE;TRUE;UTRECHT;FALSE
118;1969;93;67;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1499;2446;3294;0;2794;2794;4 YEARS;1288;63;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
119;1978;96;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1423;1854;3277;1423;1854;3277;3 YEARS;1072;1072;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
120;1973;464;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;5107;5107;FALSE;FALSE;FALSE;NOORD-BRABANT;FALSE
121;1982;80;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1526;1196;2722;1526;1196;2722;INDEFINITE;1236;1236;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
122;1930;89;51;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;;;;;;;;;FALSE;FALSE;TRUE;NOORD-HOLLAND;FALSE
123;1923;88;58;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;662;758;1420;662;758;1420;INDEFINITE;951;951;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
124;1934;146;57;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;3151;1939;5090;3151;1939;5090;4 YEARS;3708;3708;FALSE;TRUE;TRUE;LIMBURG;FALSE
125;1964;81;36;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2007;1831;3838;2007;1831;3838;3 YEARS;955;955;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
126;1986;80;37;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;2001;1726;3727;2001;1726;3727;4 YEARS;1150;876;FALSE;TRUE;TRUE;UTRECHT;FALSE
127;1998;84;58;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;445;707;1152;445;707;1152;INDEFINITE;331;331;FALSE;TRUE;TRUE;FRIESLAND;FALSE
128;1971;65;38;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;530;520;1050;530;520;1050;INDEFINITE;;451;FALSE;TRUE;TRUE;UTRECHT;FALSE
129;1993;152;64;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1561;1778;3339;1754;2267;4021;INDEFINITE;2259;2373;FALSE;TRUE;TRUE;ZUID-HOLLAND;FALSE
130;2011;122;75;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;490;826;1316;490;826;1316;INDEFINITE;988;988;FALSE;TRUE;TRUE;UTRECHT;FALSE
131;1965;69;85;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;1135;646;1781;1135;646;1781;INDEFINITE;;;FALSE;TRUE;TRUE;UTRECHT;FALSE
